Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income
E14 0AA,Yes,51.509978,-0.01501,537848,180873,TQ378808,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",168,56,"Greater London","Tower Hamlets","Tower Hamlets 024D","Urban major conurbation",London,9,2,E01004257,,E02000887,"Tower Hamlets 024",E43000220,E00021410,E14000882,6674,1,0,2020-02-19,"All Saints",0.174018,E,E14,"Metropolitan Police","Thames Water",9C3XGX5M+XX,47600
E14 0AD,Yes,51.509979,-0.015586,537808,180872,TQ378808,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",134,54,"Greater London","Tower Hamlets","Tower Hamlets 024D","Urban major conurbation",London,10,2,E01004257,,E02000887,"Tower Hamlets 024",E43000220,E00021410,E14000882,6674,1,0,2020-02-19,"All Saints",0.212129,E,E14,"Metropolitan Police","Thames Water",9C3XGX5M+XQ,47600
E14 0AE,Yes,51.50904,-0.015368,537826,180768,TQ378807,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",9,5,"Greater London","Tower Hamlets","Tower Hamlets 024D","Urban major conurbation",London,8,2,E01004257,,E02000887,"Tower Hamlets 024",E43000220,E00021400,E14000882,6674,1,0,2020-02-19,"Poplar",0.208409,E,E14,"Metropolitan Police","Thames Water",9C3XGX5M+JV,47600
E14 0AF,Yes,51.508545,-0.016975,537716,180710,TQ377807,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",,,"Greater London","Tower Hamlets","Tower Hamlets 024C","Urban major conurbation",London,7,2,E01004256,,E02000887,"Tower Hamlets 024",E43000220,E00021422,E14000882,5676,1,1,2020-02-19,"Poplar",0.108346,E,E14,"Metropolitan Police","Thames Water",9C3XGX5M+C6,47600
E14 0AG,Yes,51.508634,-0.015861,537793,180722,TQ377807,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",4,1,"Greater London","Tower Hamlets","Tower Hamlets 024C","Urban major conurbation",London,7,2,E01004256,,E02000887,"Tower Hamlets 024",E43000220,E00021422,E14000882,5676,1,0,2020-02-19,"Poplar",0.151916,E,E14,"Metropolitan Police","Thames Water",9C3XGX5M+FM,47600
E14 0AH,Yes,51.508516,-0.015261,537835,180710,TQ378807,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",14,10,"Greater London","Tower Hamlets","Tower Hamlets 024C","Urban major conurbation",London,7,2,E01004256,,E02000887,"Tower Hamlets 024",E43000220,E00021422,E14000882,5676,1,0,2020-02-19,"Poplar",0.173331,E,E14,"Metropolitan Police","Thames Water",9C3XGX5M+CV,47600
E14 0AJ,Yes,51.508374,-0.015339,537830,180694,TQ378806,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",12,8,"Greater London","Tower Hamlets","Tower Hamlets 024C","Urban major conurbation",London,7,2,E01004256,,E02000887,"Tower Hamlets 024",E43000220,E00021422,E14000882,5676,1,0,2020-02-19,"Poplar",0.159889,E,E14,"Metropolitan Police","Thames Water",9C3XGX5M+8V,47600
E14 0AL,Yes,51.508542,-0.015721,537803,180712,TQ378807,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",16,12,"Greater London","Tower Hamlets","Tower Hamlets 024C","Urban major conurbation",London,7,2,E01004256,,E02000887,"Tower Hamlets 024",E43000220,E00021422,E14000882,5676,1,0,2020-02-19,"Poplar",0.150979,E,E14,"Metropolitan Police","Thames Water",9C3XGX5M+CP,47600
E14 0AN,Yes,51.508347,-0.014822,537866,180692,TQ378806,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",41,15,"Greater London","Tower Hamlets","Tower Hamlets 024C","Urban major conurbation",London,6,2,E01004256,,E02000887,"Tower Hamlets 024",E43000220,E00021422,E14000882,5676,1,0,2020-02-19,"Poplar",0.189489,E,E14,"Metropolitan Police","Thames Water",9C3XGX5P+83,47600
E14 0AP,Yes,51.508447,-0.014257,537905,180704,TQ379807,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",43,12,"Greater London","Tower Hamlets","Tower Hamlets 024C","Urban major conurbation",London,7,2,E01004256,,E02000887,"Tower Hamlets 024",E43000220,E00021422,E14000882,5676,1,0,2020-02-19,"Poplar",0.229547,E,E14,"Metropolitan Police","Thames Water",9C3XGX5P+97,47600
E14 0AQ,Yes,51.508761,-0.015351,537828,180737,TQ378807,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",14,11,"Greater London","Tower Hamlets","Tower Hamlets 024C","Urban major conurbation",London,7,2,E01004256,,E02000887,"Tower Hamlets 024",E43000220,E00021422,E14000882,5676,1,0,2020-02-19,"Poplar",0.186288,E,E14,"Metropolitan Police","Thames Water",9C3XGX5M+GV,47600
E14 0AR,Yes,51.508462,-0.013664,537946,180707,TQ379807,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",89,26,"Greater London","Tower Hamlets","Tower Hamlets 024D","Urban major conurbation",London,7,2,E01004257,,E02000887,"Tower Hamlets 024",E43000220,E00021426,E14000882,6674,1,0,2020-02-19,"All Saints",0.235149,E,E14,"Metropolitan Police","Thames Water",9C3XGX5P+9G,47600
E14 0AS,Yes,51.508781,-0.013376,537965,180743,TQ379807,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",78,23,"Greater London","Tower Hamlets","Tower Hamlets 024D","Urban major conurbation",London,7,2,E01004257,,E02000887,"Tower Hamlets 024",E43000220,E00021426,E14000882,6674,1,0,2020-02-19,"All Saints",0.19548,E,E14,"Metropolitan Police","Thames Water",9C3XGX5P+GJ,47600
E14 0AT,Yes,51.508507,-0.0131,537985,180713,TQ379807,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",1980-01-01,,"Tower Hamlets, unparished area","",117,34,"Greater London","Tower Hamlets","Tower Hamlets 024D","Urban major conurbation",London,7,2,E01004257,,E02000887,"Tower Hamlets 024",E43000220,E00021426,E14000882,6674,1,0,2020-02-19,"All Saints",0.22135,E,E14,"Metropolitan Police","Thames Water",9C3XGX5P+CQ,47600
E14 0AU,Yes,51.508963,-0.019334,537551,180752,TQ375807,"Greater London","Tower Hamlets","Poplar",E09000030,E05009328,England,E11000009,"Poplar and Limehouse",2004-02-01,,"Tower Hamlets, unparished area","",28,11,"Greater London","Tower Hamlets","Tower Hamlets 024C","Urban major conurbation",London,7,2,E01004256,,E02000887,"Tower Hamlets 024",E43000220,E00021398,E14000882,5676,1,0,2020-02-19,"Poplar",0.208833,E,E14,"Metropolitan Police","Thames Water",9C3XGX5J+H7,47600
